("AI researchers", "adapted and integrated", "techniques")
("Artificial intelligence (AI)", "uses techniques from", "search optimization")
("Artificial intelligence (AI)", "uses techniques from", "mathematical optimization")
("Artificial intelligence (AI)", "uses techniques from", "formal logic")
("Artificial intelligence (AI)", "uses techniques from", "artificial neural networks")
("Artificial intelligence (AI)", "uses techniques from", "statistics")
("Artificial intelligence (AI)", "uses techniques from", "operations research")
("Artificial intelligence (AI)", "uses techniques from", "economics")
("Artificial intelligence (AI)", "draws upon", "psychology")
("Artificial intelligence (AI)", "draws upon", "linguistics")
("Artificial intelligence (AI)", "draws upon", "philosophy")
("Artificial intelligence (AI)", "draws upon", "neuroscience")
("Artificial intelligence (AI)", "draws upon", "other fields")
